,Selected Total Costs (€)
2023_BASE,8062825435.511797
2023_COL,8061412617.675241
2023_EXCL,8056038124.685948
2040_BASE,25673064634.251488
2040_COL,25677346882.081947
2040_EXCL,25692222763.524784
