Bus 0,Bus 1,line_type,change_category,net_change
BE0 0,BE0 1,AC,Expansion,295.61145196501457
BE0 0,BE0 1,AC,Expansion,197.0745784812425
DE0 0,NL0 15,AC,Reduction,-229.53128008293606
DE0 0,NL0 6,AC,Reduction,-672.5166133218736
DE0 0,NL0 9,AC,Reduction,-170.7703501186952
DK1 0,DK1 1,AC,Reduction,-31.138247006695565
GB2 0,GB2 1,AC,Reduction,-209.7197524248877
GB2 0,GB2 2,AC,Reduction,-179.87316721561365
GB3 0,GB3 2,AC,Expansion,3.240382597396092
GB3 1,GB3 2,AC,Reduction,-0.7799797439631675
BE0 0,NL0 3,AC,Expansion,95.40896389476438
GB3 2,IE3 0,AC,Expansion,1.4692078387060974
NL0 0,NL0 16,AC,Expansion,211.29777594571715
NL0 0,NL0 17,AC,Expansion,284.25770882024517
NL0 1,NL0 11,AC,Expansion,771.6334479155203
NL0 1,NL0 15,AC,Reduction,-12.219462225493771
NL0 1,NL0 5,AC,Reduction,-28.17515797515398
NL0 10,NL0 11,AC,Expansion,804.8791070001089
NL0 10,NL0 17,AC,Reduction,-123.67530621372862
NL0 10,NL0 17,AC,Reduction,-123.67548015409557
BE0 1,NL0 6,AC,Reduction,-1857.7026736992684
NL0 12,NL0 6,AC,Expansion,584.2264751795592
NL0 12,NL0 8,AC,Expansion,642.4958045308485
NL0 13,NL0 2,AC,Expansion,288.4595965422195
NL0 13,NL0 9,AC,Expansion,780.8785931008615
NL0 14,NL0 2,AC,Reduction,-445.7399891355981
NL0 14,NL0 6,AC,Reduction,-832.0841169199357
NL0 15,NL0 5,AC,Reduction,-53.48065094179583
NL0 16,NL0 4,AC,Expansion,1523.2176952975497
NL0 16,NL0 7,AC,Expansion,61.431239564266434
NL0 17,NL0 7,AC,Expansion,624.8442462217481
NL0 3,NL0 8,AC,Reduction,-1427.7172623441347
NL0 4,NL0 8,AC,Expansion,663.6972440457303
NL0 5,NL0 9,AC,Expansion,73.94501371187107
DE0 0,NL0 13,AC,Reduction,-236.28258218996598
NO5 0,GB2 1,DC,Expansion,41.22251948792655
GB2 2,NL0 4,DC,Expansion,807.7551761812356
DE0 0,NO7 0,DC,Expansion,5.1962751928722355
DK0 0,NO6 0,DC,Reduction,-2.6985428864973073
DK0 1,DK1 1,DC,Expansion,18.098061871200116
GB3 0,GB2 1,DC,Expansion,5.07145141475894
GB2 2,BE0 0,DC,Reduction,-1059.612088281614
BE0 1,DE0 0,DC,Expansion,1660.7752032773496
NL0 15,NO4 0,DC,Expansion,1.459195285649912
IE3 0 H2,IE3 0,DC,Reduction,-5.667557743907764
NO4 0 H2,NO4 0,DC,Reduction,-0.03526076586149429
NO5 0 H2,NO5 0,DC,Expansion,299.2752111387563
NO6 0 H2,NO6 0,DC,Expansion,35.455002682814666
NO7 0 H2,NO7 0,DC,Expansion,5.476426780021029
