Bus 0,Bus 1,line_type,change_category,net_change
DE0 0,NL0 15,AC,Expansion,3.068687775004946
DE0 0,NL0 6,AC,Expansion,2.652343326721166
DE0 0,NL0 9,AC,Reduction,-0.7000665110654154
DK0 0,DK0 1,AC,Expansion,2.557960769008787
GB3 0,GB3 1,AC,Expansion,0.006762416055380527
GB3 0,GB3 2,AC,Reduction,-0.0031887362415545795
NL0 0,NL0 16,AC,Reduction,-1.3537984328868333
NL0 0,NL0 17,AC,Expansion,3.009357189977891
NL0 1,NL0 11,AC,Expansion,2.678728502547756
NL0 1,NL0 15,AC,Expansion,3.276234609326366
NL0 1,NL0 5,AC,Expansion,4.058037358384354
NL0 10,NL0 11,AC,Expansion,1.8028201038669067
NL0 10,NL0 17,AC,Expansion,4.87801116564242
NL0 10,NL0 17,AC,Expansion,4.878018026211976
BE0 1,NL0 6,AC,Expansion,6.931945344516862
NL0 10,NL0 5,AC,Expansion,17.286431509597605
NL0 12,NL0 6,AC,Expansion,2.561177960351415
NL0 12,NL0 8,AC,Expansion,2.902276586476546
NL0 13,NL0 2,AC,Expansion,9.648113675248169
NL0 14,NL0 2,AC,Expansion,5.322507361382122
NL0 14,NL0 6,AC,Expansion,4.954182252822648
NL0 15,NL0 5,AC,Expansion,2.593087284356443
NL0 16,NL0 4,AC,Reduction,-3.994393504378422
NL0 16,NL0 7,AC,Reduction,-3.264600542421249
NL0 17,NL0 7,AC,Expansion,1.3738802751422554
NL0 3,NL0 8,AC,Expansion,13.356877521640854
NL0 5,NL0 9,AC,Expansion,2.4022707694985
DE0 0,NL0 13,AC,Expansion,0.11708496227765863
NO5 0,GB2 1,DC,Expansion,0.03371450398435627
GB2 2,NL0 4,DC,Reduction,-4.870106449970081
DE0 0,NO7 0,DC,Reduction,-0.16420992445000593
DK0 0,NO6 0,DC,Expansion,1.7905725383052413
GB3 0,GB2 1,DC,Reduction,-0.0393467900307769
GB2 2,BE0 0,DC,Expansion,5.177311128615656
NL0 15,NO4 0,DC,Reduction,-0.11145655294421886
NO4 0 H2,NO4 0,DC,Reduction,-0.2229131058884377
NO5 0 H2,NO5 0,DC,Expansion,0.2921923678668463
NO6 0 H2,NO6 0,DC,Expansion,0.5106384533764867
NO7 0 H2,NO7 0,DC,Expansion,0.3793545827975322
