Simulation,From,To,Flow (TWh),Direction
2023 Simulation 1,NO,GB,7.11,Export
2023 Simulation 1,GB,NL,7.29,Export
2023 Simulation 1,GB,DK,7.17,Export
2023 Simulation 1,NO,DE,49.72,Import
2023 Simulation 1,DE,DK,2.36,Import
2023 Simulation 1,DK,NO,3.35,Export
2023 Simulation 1,DK,NO,6.13,Export
2023 Simulation 1,IE,GB,4.01,Import
2023 Simulation 1,NL,DK,6.07,Import
2023 Simulation 1,BE,GB,16.41,Import
2023 Simulation 1,DE,BE,3.72,Import
2023 Simulation 1,NO,NL,54.38,Import
2023 Simulation 2,NO,GB,7.11,Export
2023 Simulation 2,GB,NL,7.28,Export
2023 Simulation 2,GB,DK,7.17,Export
2023 Simulation 2,NO,DE,49.72,Import
2023 Simulation 2,DE,DK,2.36,Import
2023 Simulation 2,DK,NO,3.35,Export
2023 Simulation 2,DK,NO,6.13,Export
2023 Simulation 2,IE,GB,4.01,Import
2023 Simulation 2,NL,DK,6.06,Import
2023 Simulation 2,BE,GB,16.4,Import
2023 Simulation 2,DE,BE,3.72,Import
2023 Simulation 2,NO,NL,54.38,Import
2023 Simulation 3,NO,GB,7.1,Export
2023 Simulation 3,GB,NL,6.96,Export
2023 Simulation 3,GB,DK,7.19,Export
2023 Simulation 3,NO,DE,49.72,Import
2023 Simulation 3,DE,DK,2.37,Import
2023 Simulation 3,DK,NO,3.35,Export
2023 Simulation 3,DK,NO,6.13,Export
2023 Simulation 3,IE,GB,4.02,Import
2023 Simulation 3,NL,DK,6.06,Import
2023 Simulation 3,BE,GB,16.17,Import
2023 Simulation 3,DE,BE,3.75,Import
2023 Simulation 3,NO,NL,54.38,Import
